comment,step,time,type,head_pan,head_tilt,head_sidetilt,r_arm,right_arm_shoulder_rotate,right_arm_shoulder_lift,right_arm_elbow_rotate,right_arm_elbow_bend,right_arm_wrist_rotate,right_arm_gripper,l_arm,left_arm_shoulder_rotate,left_arm_shoulder_lift,left_arm_elbow_rotate,left_arm_elbow_bend,left_arm_wrist_rotate,left_arm_gripper,param1,param2
looked,134,0.96,move,-0.0107,0.902,0.023,R:,-0.4725,0.3743,-0.994,1.8224,0.2746,-1.4159,L:,-0.0823,0.4418,0.3237,1.5355,-0.4893,1.8623,,
--took,135,0.48,move,-0.4495,0.856,-0.2715,R:,-0.4863,0.3574,-1.4864,1.827,0.2746,-1.4159,L:,-0.0823,0.3973,0.3973,1.537,-0.4893,1.8623,,
shook,136,0.48,move,-0.0107,0.902,0.023,R:,-0.4939,0.3405,-1.31,1.5631,0.2746,-1.4159,L:,-0.0823,0.4234,0.4556,1.6061,-0.4633,1.8638,,
--feeling,137,0.48,move,0.3175,0.8345,0.0675,R:,-0.5062,0.2393,-1.6153,1.4834,0.2746,-1.4159,L:,-0.0792,0.4126,0.4786,1.5156,-0.4955,1.8623,,
singing,138,0.48,move,-0.5354,-0.3114,-0.0644,R:,-0.5814,0.2255,-0.181,2.2028,-0.1074,-0.6842,L:,-0.0792,0.4295,0.4648,1.5263,-0.4955,1.8623,,
messge,139,0.96,move,-0.2592,-0.1565,0.0107,R:,-1.083,0.2516,-0.3988,2.0678,-0.1074,-0.6857,L:,0.0359,0.3267,0.3682,1.4788,-0.4786,1.8868,,
,140,0.96,move,-0.2684,-0.2531,0.0092,,-1.1,,,,,,,,,,,,,,
veins,141,0.96,move,-0.589,-0.3068,-0.0828,R:,-0.9986,0.3513,-0.2132,1.6,-0.1074,-0.6842,L:,-0.0562,0.405,0.3988,1.4527,-0.408,1.8868,,
lesson,142,0.96,move,-0.609,-0.3436,-0.1212,R:,-1.083,0.2516,-0.3988,2.0678,-0.1074,-0.6857,L:,-0.093,0.3927,0.4126,1.4711,-0.4065,1.8868,,
TURN,71,0,marker,,,,,,,,,,,,,,,,,,1,
brain,143,0.96,move,-0.135,-0.3022,-0.0537,R:,-1.2287,0.2531,-0.3528,2.439,-0.0414,-1.4266,L:,-0.0915,0.3958,0.3421,1.4895,-0.4004,1.8883,,
beauty,144,0.96,move,0.2976,-0.1534,0.1948,R:,-1.0769,0.2071,-1.1075,2.5065,-0.9603,-1.1766,L:,1.0713,0.5722,0.9741,2.6615,-0.0583,2.1859,,
,145,0,,,,,,,,,,,,,,,,,,,,
PAIN,146,1.64,move,-0.1058,-0.5,0.043,R:,-1.3453,0.3712,0.3007,2.0985,0.4633,0.0368,L:,1.4011,0.8345,-0.4449,1.8392,-0.7348,1.3361,,
BRIGHT WHITE,147,0,lights,,,,,,,,,,,,,,,,,,24,
TURN,148,0,marker,,,,,,,,,,,,,,,,,,-1,
,149,0.96,move,-0.1058,-0.6734,0.043,R:,-1.3453,0.3712,0.3007,2.0985,0.4633,0.0368,L:,1.4011,0.8345,-0.4449,1.8392,-0.7348,1.3361,,
you made me,150,1.8,move,0.3007,-0.2746,0.0629,R:,-1.264,0.2899,-0.1657,2.0847,0.4449,-1.241,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
DIM WHITE,151,0,lights,,,,,,,,,,,,,,,,,,14,
a,152,0.96,move,-0.5706,-0.3206,-0.1104,R:,-1.29,0.2945,-0.4341,1.534,0.4449,-1.241,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
you made me,153,0.96,move,-0.5599,-0.0844,-0.1135,R:,-1.2625,0.3037,-0.115,2.166,0.4449,-1.241,L:,1.2784,0.5262,-0.0092,1.985,0.0522,2.2074,,
a,154,0.96,move,-0.4893,-0.3421,-0.0752,R:,-1.2686,0.3912,-0.9311,1.5723,0.4449,-1.241,L:,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
Believer,155,0.96,move,-0.3636,-0.204,-0.0782,R:,-1.2671,0.3574,-0.5369,1.8316,0.4449,-1.2395,L:,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
TURN,71,0,marker,,,,,,,,,,,,,,,,,,1,
Believer,156,0.96,move,-0.2316,-0.0522,-0.0261,R:,-1.2625,0.3129,-1.4036,1.5202,1.1229,-1.2456,L:,0.8627,0.8222,0.2516,1.9451,0.1994,2.2059,,
